Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date,Original User Sentiment,include_terms_matched,exclude_terms_matched,include_match_count,exclude_match_count,topic_relevance_score,url_count,cashtag_count,alpha_word_count
Costco,codomain,1.9763173897269412e+18,https://x.com/MarcWhittemore/status/1976317389726941324,You are the gaslighting skank of ALL skanks... You abandoned CA in so many ways long before this fire. You have destroyed the most beautiful state in the nation and now you sit in your ivory 11 mil. tower and whine you want the Federal govt to clean up YOUR mess. The Obama level audacity...  you piece of maggot turd.,1900664583825879043,MarcWhittemore,True,867,,0,3,"October 9, 2025 at 04:02 PM",Negative,[],[],0,0,0,0,0,59
Costco,codomain,1.9763092360626424e+18,https://x.com/readersdigest/status/1976309236062642386,"Here's a prescription for doctor jokes, hospital humor, medical puns and more to cure your laughter deficiency. https://t.co/HifNH2kVO0",15592792,readersdigest,True,117471,,0,123,"October 9, 2025 at 03:30 PM",Positive,[],[],0,0,0,1,0,20
Costco,codomain,1.9763005712097444e+18,https://x.com/MarcWhittemore/status/1976300571209744557,"The first few words out this cretin's mouth was about how Charlie ""always called him his Pastor"". And kept repeating that in several clips. Speaks volumes. Purely ego driven. Obviously something is up. He stinks to high heaven. And he literally SUCKS as an orator from the pulpit. God KNOWS @robmccoyus Come correct. We're going to find the truth anyways.",1900664583825879043,MarcWhittemore,True,867,,0,7,"October 9, 2025 at 02:55 PM",Negative,[],[],0,0,0,0,0,61
Costco,codomain,1.9762941322105984e+18,https://x.com/HollyBlomberg/status/1976294132210598230,Commander of the Oregon National Guard Brigadier General Alan R. Gronewold 🫡 https://t.co/cEuq5rcBmx,258871381,HollyBlomberg,False,8865,Cascadia Subduction Zone,4,58,"October 9, 2025 at 02:30 PM",Positive,[],[],0,0,0,1,0,14
Costco,codomain,1.9762888956385692e+18,https://x.com/Lisahondaeleme1/status/1976288895638569250,"U.S. bill calls for more integration between Canadian, American border agents | CBC News EXCELLENT! Watch the Elbozos meltdown over this.  https://t.co/dntBzPclXf",981330900104437760,Lisahondaeleme1,False,1073,"Winnipeg, Manitoba",0,11,"October 9, 2025 at 02:09 PM",Negative,[],[],0,0,0,1,0,22
Costco,codomain,1.9762804801496233e+18,https://x.com/HollyBlomberg/status/1976280480149623024,"Not only is “antifa” an imaginary boogeyman, this is also manipulative use of the US legal system. Trump has to say “foreign terrorist organization” specifically because US. law has no specific way to charge someone with domestic terrorism https://t.co/ploY0NvXZ5 1/4",258871381,HollyBlomberg,False,8865,Cascadia Subduction Zone,4,78,"October 9, 2025 at 01:35 PM",Positive,[],['trump'],0,1,-1,1,0,42
Costco,codomain,1.9762778255788111e+18,https://x.com/humberwire/status/1976277825578811489,"Poor Lorex in GPlayReview:  {Gishan G- July 23, 2025- App keeps crashing, does not load more than 80% of the time. worked better on previous devices but not on S25. disappointing.}👎(In Sum=&gt;Vicious-Chinese-LorexCorporate)#2236766 https://t.co/u1ptl2Tuds",1958873548740861953,humberwire,False,17,,0,0,"October 9, 2025 at 01:25 PM",Negative,[],[],0,0,0,1,0,36
Costco,codomain,1.9762776930010524e+18,https://x.com/humberwire/status/1976277693001052375,"Avoid Lorex Camera-GPlay: {Carina Bown- September 30, 2025- This app has always been unreliable, constantly not working in playback mode. Well now, I can't even get live footage to play. For ...ough to fix the issues.}👎(Conclusion=&gt;Sucks Lorex Chinese)#2556764 https://t.co/pLaoOHhP0q",1958873548740861953,humberwire,False,17,,0,5,"October 9, 2025 at 01:24 PM",Negative,[],[],0,0,0,1,0,42
Costco,codomain,1.976275995922506e+18,https://x.com/HollyBlomberg/status/1976275995922505992,Have we given up freedom by chasing security US? It’s worth thinking about the political leadership (of both parties) as well as the business world with whom the politicians work hand in glove. What are some common characteristics? Food for thought👇 https://t.co/EGJxva5w55,258871381,HollyBlomberg,False,8865,Cascadia Subduction Zone,3,61,"October 9, 2025 at 01:18 PM",Positive,[],[],0,0,0,1,0,44
Costco,codomain,1.9762639842075156e+18,https://x.com/readersdigest/status/1976263984207515797,"Even if you haven't picked up your car keys in a while, you should be aware of what happens when you don’t drive your car regularly. https://t.co/xU8ykCIms5",15592792,readersdigest,True,117471,,1,196,"October 9, 2025 at 12:30 PM",Positive,[],[],0,0,0,1,0,29
Costco,codomain,1.9762629105873797e+18,https://x.com/humberwire/status/1976262910587379771,"GPlay Review-Lorex[1-Star]: {Robert “Robbie” Reynolds- September 26, 2025- can't use my ap keeps saying network error}👎(In Short=&gt;Sucks quality of Lorex-China)#1615610 https://t.co/KY1zC54qoP",1958873548740861953,humberwire,False,17,,0,5,"October 9, 2025 at 12:26 PM",Negative,[],[],0,0,0,1,0,29
Costco,codomain,1.9762628460370327e+18,https://x.com/humberwire/status/1976262846037033023,"Avoid Lorex Camera-GPlay: {Gishan G- July 23, 2025- App keeps crashing, does not load more than 80% of the time. worked better on previous devices but not on S25. disappointing.}👎(Conclusion=&gt;Sucks Lorex Chinese)#2155609 https://t.co/Mb07nNWHMQ",1958873548740861953,humberwire,False,17,,0,1,"October 9, 2025 at 12:25 PM",Negative,[],[],0,0,0,1,0,35
Costco,codomain,1.9762366769902671e+18,https://x.com/humberwire/status/1976236676990267419,"Lorex in [1-star]GPlayReview:{Anthony Vicente- September 15, 2025- Not user-friendly. the app sometimes drops cameras that are hardwired into the system. I'm unable to use all the Lorex camera...meras that I bought.}👎(in a shell=&gt;Terrible Chinese Lorex)#2553342 https://t.co/MgFup7EnOY",1958873548740861953,humberwire,False,17,,0,1,"October 9, 2025 at 10:41 AM",Negative,[],[],0,0,0,1,0,41
Costco,codomain,1.9762366143651103e+18,https://x.com/humberwire/status/1976236614365110588,"Poor Lorex in GPlayReview:  {Kim Schumacher- June 3, 2025- app sucks. doesn't show recording when there is movement. crashes or says something is wrong constantly}👎(Finally=&gt;Wicked-Lorex)#1893341 https://t.co/Aa0yz6svCU",1958873548740861953,humberwire,False,17,,0,6,"October 9, 2025 at 10:41 AM",Negative,[],[],0,0,0,1,0,32
Costco,codomain,1.976233714809004e+18,https://x.com/readersdigest/status/1976233714809004224,Put your Word Power to the test with this roundup of our favorite vocabulary quizzes. Match the word to its correct definition...if you can! https://t.co/K8BROd2BOJ,15592792,readersdigest,True,117471,,0,233,"October 9, 2025 at 10:30 AM",Positive,[],[],0,0,0,1,0,29
Costco,codomain,1.9762245706728243e+18,https://x.com/humberwire/status/1976224570672824381,"Avoid Lorex Camera-GPlay: {Jay R- September 3, 2025- consistently gives me an error messages and won't play videos or recorded events. now won't even display my cameras live.}👎(In Sum=&gt;Vicious-Chinese-LorexCorporate)#2192219 https://t.co/Nfz7ySVSIM",1958873548740861953,humberwire,False,17,,0,1,"October 9, 2025 at 09:53 AM",Negative,[],[],0,0,0,1,0,36
Costco,codomain,1.9762245098974213e+18,https://x.com/humberwire/status/1976224509897421117,"Avoid Lorex Product(Lorex): {Adam Douglas- August 24, 2025- GO BUY BETTER. Over 1000$ wasted because this app does not work I have given up trying to keep my cameras running with this CANCERO...shooting, with zero success.}👎(Ultimately=&gt;Horrible Lorex)#2552218 https://t.co/h0QNBUuOsC",1958873548740861953,humberwire,False,17,,0,5,"October 9, 2025 at 09:53 AM",Negative,[],[],0,0,0,1,0,41
Costco,codomain,1.9762244446717832e+18,https://x.com/humberwire/status/1976224444671783315,"Lorex in [1-star]GPlayReview:{Donna Eagen-August 17, 2025- I have the same issues; uh oh, something went wrong. The timeline doesn't work. While watching an event on timeline, it flashes off o...re power loss. Terrible!!}👎(Conclusion=&gt;Lorex Sucks Rated)#2552217 https://t.co/s0mdBh51F0",1958873548740861953,humberwire,False,17,,0,1,"October 9, 2025 at 09:53 AM",Negative,[],[],0,0,0,1,0,41
